jobs,mitigations,true_skewed,true_mitigated,false_mitigated,baseline_total,adjusted_total,relative_improvement,model,threshold,mitigation_rate,precision_mitigation,recall_on_skew
537,49,9,4,45,111114000000.0,111108100000.0,5.3098619435894666e-05,logistic_regression,0.1,0.09124767225325885,0.08163265306122448,0.4444444444444444
537,16,9,2,14,111114000000.0,111114350000.0,-3.149918102129345e-06,xgboost,0.07,0.0297951582867784,0.125,0.2222222222222222
537,3,9,0,3,111114000000.0,111144200000.0,-0.00027179293338373204,lightgbm,0.23,0.00558659217877095,0.0,0.0
537,31,9,3,28,111114000000.0,111234350000.0,-0.0010831218388321904,random_forest,0.08,0.05772811918063315,0.0967741935483871,0.3333333333333333
