model,pr_auc,roc_auc,best_f1_threshold,best_f1,precision_at_best_f1,recall_at_best_f1,threshold_recall_ge_0_80,precision_recall_ge_0_80,recall_recall_ge_0_80,f1_recall_ge_0_80
logistic_regression,0.04151508283464363,0.5008503401360545,0.5800000000000001,0.17391304347826086,0.125,0.2857142857142857,0.01,0.01728395061728395,1.0,0.03398058252427184
random_forest,0.1302371248121258,0.9069548872180451,0.93,0.24324324324324326,0.15,0.6428571428571429,0.6,0.1111111111111111,0.9285714285714286,0.1984732824427481
xgboost,0.14515944571598172,0.9337629788757608,0.6900000000000001,0.2631578947368421,0.16129032258064516,0.7142857142857143,0.66,0.09420289855072464,0.9285714285714286,0.17105263157894737
lightgbm,0.08566432489320315,0.8965717866093806,0.6900000000000001,0.1702127659574468,0.12121212121212122,0.2857142857142857,0.68,0.07303370786516854,0.9285714285714286,0.13541666666666666
