jobs,mitigations,true_skewed,true_mitigated,false_mitigated,baseline_total,adjusted_total,relative_improvement,model,threshold,mitigation_rate,precision_mitigation,recall_on_skew
812,0,12,0,0,158573000000.0,158573000000.0,0.0,logistic_regression,0.1,0.0,0.0,0.0
812,0,12,0,0,158573000000.0,158573000000.0,0.0,lightgbm,0.23,0.0,0.0,0.0
812,8,12,1,7,158573000000.0,158573200000.0,-1.261248762399652e-06,random_forest,0.08,0.009852216748768473,0.125,0.08333333333333333
812,68,12,5,63,158573000000.0,158867300000.0,-0.0018559275538710877,xgboost,0.07,0.08374384236453201,0.07352941176470588,0.4166666666666667
