model,pr_auc,roc_auc,best_f1_threshold,best_f1,precision_at_best_f1,recall_at_best_f1,threshold_recall_ge_0_80,precision_recall_ge_0_80,recall_recall_ge_0_80,f1_recall_ge_0_80
lightgbm,0.08721624850657109,0.8715625,0.23,0.19047619047619047,0.2222222222222222,0.16666666666666666,0.0,0.014778325123152709,1.0,0.02912621359223301
logistic_regression,0.04336661651059851,0.7609374999999999,0.1048,0.10909090909090909,0.061224489795918366,0.5,0.0032,0.01556420233463035,1.0,0.03065134099616858
random_forest,0.06109415376524354,0.8115625000000001,0.08,0.12307692307692308,0.07547169811320754,0.3333333333333333,0.0208,0.04048582995951417,0.8333333333333334,0.07722007722007722
xgboost,0.07076351734059644,0.8239583333333333,0.06999999999999999,0.15384615384615385,0.1111111111111111,0.25,0.0217,0.044444444444444446,0.8333333333333334,0.08438818565400844
